State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Hinds,Unknown,African-American,2
Mississippi,Hinds,Unknown,White,0
Mississippi,Hinds,Unknown,American-Indian-Alaska-Native,0
Mississippi,Hinds,Unknown,Asian,0
Mississippi,Hinds,Unknown,Other,0
Mississippi,Hinds,Unknown,Unknown,0
Mississippi,Holmes,Total,NA,41
Mississippi,Holmes,Non-Hispanic,African-American,36
Mississippi,Holmes,Non-Hispanic,White,3
Mississippi,Holmes,Non-Hispanic,American-Indian-Alaska-Native,1
Mississippi,Holmes,Non-Hispanic,Asian,0
Mississippi,Holmes,Non-Hispanic,Other,0
Mississippi,Holmes,Non-Hispanic,Unknown,0
Mississippi,Holmes,Hispanic,African-American,0
Mississippi,Holmes,Hispanic,White,0
Mississippi,Holmes,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Holmes,Hispanic,Asian,0
Mississippi,Holmes,Hispanic,Other,0
Mississippi,Holmes,Hispanic,Unknown,0
Mississippi,Holmes,Unknown,African-American,1
Mississippi,Holmes,Unknown,White,0
Mississippi,Holmes,Unknown,American-Indian-Alaska-Native,0
Mississippi,Holmes,Unknown,Asian,0
Mississippi,Holmes,Unknown,Other,0
Mississippi,Holmes,Unknown,Unknown,0
Mississippi,Humphreys,Total,NA,9
Mississippi,Humphreys,Non-Hispanic,African-American,6
Mississippi,Humphreys,Non-Hispanic,White,3
Mississippi,Humphreys,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Humphreys,Non-Hispanic,Asian,0
Mississippi,Humphreys,Non-Hispanic,Other,0
Mississippi,Humphreys,Non-Hispanic,Unknown,0
Mississippi,Humphreys,Hispanic,African-American,0
Mississippi,Humphreys,Hispanic,White,0
Mississippi,Humphreys,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Humphreys,Hispanic,Asian,0
Mississippi,Humphreys,Hispanic,Other,0
Mississippi,Humphreys,Hispanic,Unknown,0
Mississippi,Humphreys,Unknown,African-American,0
Mississippi,Humphreys,Unknown,White,0
Mississippi,Humphreys,Unknown,American-Indian-Alaska-Native,0
Mississippi,Humphreys,Unknown,Asian,0
Mississippi,Humphreys,Unknown,Other,0
Mississippi,Humphreys,Unknown,Unknown,0
Mississippi,Issaquena,Total,NA,1
Mississippi,Issaquena,Non-Hispanic,African-American,0
Mississippi,Issaquena,Non-Hispanic,White,0
Mississippi,Issaquena,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Issaquena,Non-Hispanic,Asian,0
Mississippi,Issaquena,Non-Hispanic,Other,0
Mississippi,Issaquena,Non-Hispanic,Unknown,0
Mississippi,Issaquena,Hispanic,African-American,0
Mississippi,Issaquena,Hispanic,White,0
Mississippi,Issaquena,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Issaquena,Hispanic,Asian,0
Mississippi,Issaquena,Hispanic,Other,0
Mississippi,Issaquena,Hispanic,Unknown,0
Mississippi,Issaquena,Unknown,African-American,0
Mississippi,Issaquena,Unknown,White,0
Mississippi,Issaquena,Unknown,American-Indian-Alaska-Native,0
Mississippi,Issaquena,Unknown,Asian,0
Mississippi,Issaquena,Unknown,Other,1
Mississippi,Issaquena,Unknown,Unknown,0
